268,122,3,2,2010
280,122,3,2,2013
270,123,3,2,2015
275,123,3,2,2014
280,123,3,2,2013
282,123,3,2,2012
300,123,3,2,2015
278,124,3,2,2014
278,124,3,2,2016
280,124,3,2,2014
278,125,3,2,2013
250,133,3,2,2010
268,134,3,2,2014
275,134,3,2,2014
275,134,3,2,2014
280,134,3,2,2014
280,134,3,2,2014
280,134,3,2,2014
280,134,3,2,2013
288,134,3,2,2014
298,134,3,2,2014
298,134,3,2,2013
300,134,3,2,2013
316,134,3,2,2014
268.5,135,3,2,2015
290,135,3,2,2007
306,135,3,2,2014
218,136,4,2,2016
225,136,4,2,2010
230,136,4,2,2017
245,136,3,2,2007
258,136,4,2,2015
279,136,3,2,2013
268,138,4,2,2013
286,138,3,2,2014
286,138,3,2,2014
275,143,4,2,2015
245,146,3,2,2009
258,146,3,2,2009
270,146,3,2,2010
292,146,4,2,2017
299,146,4,2,2016
300,146,4,2,2015
340,146,4,2,2016
245,147,4,2,2016
260,147,4,2,2015
260,147,3,2,2010
275,147,3,2,2009
280,147,3,2,2009
305,147,4,2,2016
255,149,3,2,2009
258,149,3,2,2009
265,149,3,2,2008
270,149,3,2,2009
280,149,3,2,2008
295,153,5,3,2013
300,153,3,2,2013
302,153,4,2,2012
335,153,3,2,2015
342,153,3,2,2014
240,155,4,2,2015
310,162,4,2,2016
340,162,4,2,2015
345,162,4,2,2016
366,162,4,2,2013
320,163,4,2,2016
320,163,4,2,2016
340,163,4,2,2017
360,177,4,2,2012
360,177,4,2,2013
360,177,4,2,2015
330,178,5,2,2013
340,178,5,2,2014
350,178,4,2,2016
350,178,4,2,2014
350,178,4,2,2015
361,178,4,2,2015
410,178,4,2,2007
320,179,4,2,2015
335,179,4,2,2014
340,179,5,2,2013
350,179,4,2,2013
358,179,4,2,2014
358,179,4,2,2016
360,179,4,2,2014
360,179,4,2,2015
365,179,5,2,2011
370,179,4,2,2013
370,179,4,2,2011
370,179,4,2,2014
340,180,4,2,2012
350,183,4,2,2014
365,183,5,2,2011
366.2,183,4,2,2014
308,185,5,2,2008
330,188,4,2,2009
388,188,4,2,2007
315,189,4,2,2013
321,189,4,2,2012
270,191,5,2,2004
308,191,4,2,2004
330,191,4,2,2010
362.5,195,5,3,2014
365,195,5,3,2013
388.5,195,4,4,2013
400,195,5,2,2016
408,201,4,2,2017
400,202,4,2,2016
420,202,5,2,2014
450,202,5,2,2014
475,202,5,2,2012
479,202,5,2,2014
480,202,4,2,2013
370,205,5,2,2014
400,220,4,2,2012
400,220,4,2,2016
345,223,4,2,2007
400,223,5,2,2011
390,224,4,2,2015
455,235,4,2,2013
460,240,5,2,2013
420,258,5,2,2009
470,258,5,2,2012
480,258,6,2,2012
510,258,5,2,2004
500,281,6,2,2009
500,311,6,2,2016
